
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000000000000000, L(p,q) = 0.8000000000000000
t = 0.1000, H(p,q)-H0 = -0.0000000160027134, L(p,q)-L0 = -0.0000000005493835
t = 0.2000, H(p,q)-H0 = -0.0000000305302281, L(p,q)-L0 = -0.0000000008375776
t = 0.3000, H(p,q)-H0 = -0.0000000349311686, L(p,q)-L0 = -0.0000000009378226
t = 0.4000, H(p,q)-H0 = -0.0000000362841635, L(p,q)-L0 = -0.0000000009687934
t = 0.5000, H(p,q)-H0 = -0.0000000368925305, L(p,q)-L0 = -0.0000000009788188
t = 0.6000, H(p,q)-H0 = -0.0000000372114828, L(p,q)-L0 = -0.0000000009824211
t = 0.7000, H(p,q)-H0 = -0.0000000373845837, L(p,q)-L0 = -0.0000000009838701
t = 0.8000, H(p,q)-H0 = -0.0000000374806094, L(p,q)-L0 = -0.0000000009845156
t = 0.9000, H(p,q)-H0 = -0.0000000375353342, L(p,q)-L0 = -0.0000000009848300
t = 1.0000, H(p,q)-H0 = -0.0000000375674831, L(p,q)-L0 = -0.0000000009849955
ROOT RETURN:	t = 1.0305 g[0] =  -1, y[0] = -0.658624, y[1] = 0.798624
t = 1.0305, H(p,q)-H0 = -0.0000000375684264, L(p,q)-L0 = -0.0000000009740738
t = 1.1000, H(p,q)-H0 = -0.0000000375869624, L(p,q)-L0 = -0.0000000009850890
t = 1.2000, H(p,q)-H0 = -0.0000000375991196, L(p,q)-L0 = -0.0000000009851442
t = 1.3000, H(p,q)-H0 = -0.0000000376069209, L(p,q)-L0 = -0.0000000009851789
t = 1.4000, H(p,q)-H0 = -0.0000000376120546, L(p,q)-L0 = -0.0000000009852015
t = 1.5000, H(p,q)-H0 = -0.0000000376155123, L(p,q)-L0 = -0.0000000009852162
t = 1.6000, H(p,q)-H0 = -0.0000000376178898, L(p,q)-L0 = -0.0000000009852270
t = 1.7000, H(p,q)-H0 = -0.0000000376195555, L(p,q)-L0 = -0.0000000009852346
t = 1.8000, H(p,q)-H0 = -0.0000000376207424, L(p,q)-L0 = -0.0000000009852404
t = 1.9000, H(p,q)-H0 = -0.0000000376216013, L(p,q)-L0 = -0.0000000009852450
t = 2.0000, H(p,q)-H0 = -0.0000000376222309, L(p,q)-L0 = -0.0000000009852485
t = 2.1000, H(p,q)-H0 = -0.0000000376226977, L(p,q)-L0 = -0.0000000009852511
t = 2.2000, H(p,q)-H0 = -0.0000000376230473, L(p,q)-L0 = -0.0000000009852534
t = 2.3000, H(p,q)-H0 = -0.0000000376233115, L(p,q)-L0 = -0.0000000009852554
t = 2.4000, H(p,q)-H0 = -0.0000000376235114, L(p,q)-L0 = -0.0000000009852563
t = 2.5000, H(p,q)-H0 = -0.0000000376236637, L(p,q)-L0 = -0.0000000009852577
t = 2.6000, H(p,q)-H0 = -0.0000000376237794, L(p,q)-L0 = -0.0000000009852589
t = 2.7000, H(p,q)-H0 = -0.0000000376238660, L(p,q)-L0 = -0.0000000009852595
t = 2.8000, H(p,q)-H0 = -0.0000000376239300, L(p,q)-L0 = -0.0000000009852608
t = 2.9000, H(p,q)-H0 = -0.0000000376239746, L(p,q)-L0 = -0.0000000009852614
t = 3.0000, H(p,q)-H0 = -0.0000000376240032, L(p,q)-L0 = -0.0000000009852625
t = 3.1000, H(p,q)-H0 = -0.0000000376240172, L(p,q)-L0 = -0.0000000009852634
t = 3.2000, H(p,q)-H0 = -0.0000000376240173, L(p,q)-L0 = -0.0000000009852644
t = 3.3000, H(p,q)-H0 = -0.0000000376240037, L(p,q)-L0 = -0.0000000009852654
t = 3.4000, H(p,q)-H0 = -0.0000000376239754, L(p,q)-L0 = -0.0000000009852664
t = 3.5000, H(p,q)-H0 = -0.0000000376239306, L(p,q)-L0 = -0.0000000009852675
t = 3.6000, H(p,q)-H0 = -0.0000000376238667, L(p,q)-L0 = -0.0000000009852685
t = 3.7000, H(p,q)-H0 = -0.0000000376237788, L(p,q)-L0 = -0.0000000009852693
t = 3.8000, H(p,q)-H0 = -0.0000000376236617, L(p,q)-L0 = -0.0000000009852704
t = 3.9000, H(p,q)-H0 = -0.0000000376235065, L(p,q)-L0 = -0.0000000009852718
t = 4.0000, H(p,q)-H0 = -0.0000000376233024, L(p,q)-L0 = -0.0000000009852736
t = 4.1000, H(p,q)-H0 = -0.0000000376230324, L(p,q)-L0 = -0.0000000009852752
t = 4.2000, H(p,q)-H0 = -0.0000000376226734, L(p,q)-L0 = -0.0000000009852775
t = 4.3000, H(p,q)-H0 = -0.0000000376221935, L(p,q)-L0 = -0.0000000009852809
t = 4.4000, H(p,q)-H0 = -0.0000000376215443, L(p,q)-L0 = -0.0000000009852843
t = 4.5000, H(p,q)-H0 = -0.0000000376206565, L(p,q)-L0 = -0.0000000009852892
t = 4.6000, H(p,q)-H0 = -0.0000000376194254, L(p,q)-L0 = -0.0000000009852956
t = 4.7000, H(p,q)-H0 = -0.0000000376176930, L(p,q)-L0 = -0.0000000009853038
t = 4.8000, H(p,q)-H0 = -0.0000000376152129, L(p,q)-L0 = -0.0000000009853149
t = 4.9000, H(p,q)-H0 = -0.0000000376115963, L(p,q)-L0 = -0.0000000009853304
t = 5.0000, H(p,q)-H0 = -0.0000000376062106, L(p,q)-L0 = -0.0000000009853541
t = 5.1000, H(p,q)-H0 = -0.0000000375980049, L(p,q)-L0 = -0.0000000009853905
t = 5.2000, H(p,q)-H0 = -0.0000000375851829, L(p,q)-L0 = -0.0000000009854489
t = 5.3000, H(p,q)-H0 = -0.0000000375645972, L(p,q)-L0 = -0.0000000009855475
t = 5.4000, H(p,q)-H0 = -0.0000000375305920, L(p,q)-L0 = -0.0000000009857243
t = 5.5000, H(p,q)-H0 = -0.0000000374727896, L(p,q)-L0 = -0.0000000009860630
t = 5.6000, H(p,q)-H0 = -0.0000000373719746, L(p,q)-L0 = -0.0000000009867646
t = 5.7000, H(p,q)-H0 = -0.0000000371929997, L(p,q)-L0 = -0.0000000009883538
t = 5.8000, H(p,q)-H0 = -0.0000000368740779, L(p,q)-L0 = -0.0000000009923597
t = 5.9000, H(p,q)-H0 = -0.0000000363018533, L(p,q)-L0 = -0.0000000010036497
t = 6.0000, H(p,q)-H0 = -0.0000000350889811, L(p,q)-L0 = -0.0000000010388295
t = 6.1000, H(p,q)-H0 = -0.0000000309316439, L(p,q)-L0 = -0.0000000011521937
ROOT RETURN:	t = 6.1690 g[0] =   1, y[0] = 0.361063, y[1] = -0.221063
t = 6.1690, H(p,q)-H0 = -0.0000000290360871, L(p,q)-L0 = -0.0000000034672842
t = 6.2000, H(p,q)-H0 = -0.0000000181206687, L(p,q)-L0 = -0.0000000014682437
t = 6.3000, H(p,q)-H0 = -0.0000000119458055, L(p,q)-L0 = -0.0000000020348256
t = 6.4000, H(p,q)-H0 = -0.0000000302352290, L(p,q)-L0 = -0.0000000025489727
t = 6.5000, H(p,q)-H0 = -0.0000000426121982, L(p,q)-L0 = -0.0000000027950873
t = 6.6000, H(p,q)-H0 = -0.0000000461368410, L(p,q)-L0 = -0.0000000028775315
t = 6.7000, H(p,q)-H0 = -0.0000000472937363, L(p,q)-L0 = -0.0000000029030033
t = 6.8000, H(p,q)-H0 = -0.0000000478367490, L(p,q)-L0 = -0.0000000029113768
t = 6.9000, H(p,q)-H0 = -0.0000000481241171, L(p,q)-L0 = -0.0000000029144436
t = 7.0000, H(p,q)-H0 = -0.0000000482806308, L(p,q)-L0 = -0.0000000029156998
t = 7.1000, H(p,q)-H0 = -0.0000000483678173, L(p,q)-L0 = -0.0000000029162688
t = 7.2000, H(p,q)-H0 = -0.0000000484177519, L(p,q)-L0 = -0.0000000029165501
t = 7.3000, H(p,q)-H0 = -0.0000000484472411, L(p,q)-L0 = -0.0000000029167009
ROOT RETURN:	t = 7.3137 g[0] =  -1, y[0] = -0.658624, y[1] = 0.798624
t = 7.3137, H(p,q)-H0 = -0.0000000482981759, L(p,q)-L0 = -0.0000000026370134
t = 7.4000, H(p,q)-H0 = -0.0000000484651992, L(p,q)-L0 = -0.0000000029167861
t = 7.5000, H(p,q)-H0 = -0.0000000484764615, L(p,q)-L0 = -0.0000000029168371
t = 7.6000, H(p,q)-H0 = -0.0000000484837200, L(p,q)-L0 = -0.0000000029168692
t = 7.7000, H(p,q)-H0 = -0.0000000484885161, L(p,q)-L0 = -0.0000000029168896
t = 7.8000, H(p,q)-H0 = -0.0000000484917583, L(p,q)-L0 = -0.0000000029169037
t = 7.9000, H(p,q)-H0 = -0.0000000484939955, L(p,q)-L0 = -0.0000000029169139
t = 8.0000, H(p,q)-H0 = -0.0000000484955676, L(p,q)-L0 = -0.0000000029169216
t = 8.1000, H(p,q)-H0 = -0.0000000484966906, L(p,q)-L0 = -0.0000000029169268
t = 8.2000, H(p,q)-H0 = -0.0000000484975049, L(p,q)-L0 = -0.0000000029169313
t = 8.3000, H(p,q)-H0 = -0.0000000484981032, L(p,q)-L0 = -0.0000000029169348
t = 8.4000, H(p,q)-H0 = -0.0000000484985476, L(p,q)-L0 = -0.0000000029169376
t = 8.5000, H(p,q)-H0 = -0.0000000484988811, L(p,q)-L0 = -0.0000000029169398
t = 8.6000, H(p,q)-H0 = -0.0000000484991330, L(p,q)-L0 = -0.0000000029169418
t = 8.7000, H(p,q)-H0 = -0.0000000484993246, L(p,q)-L0 = -0.0000000029169435
t = 8.8000, H(p,q)-H0 = -0.0000000484994699, L(p,q)-L0 = -0.0000000029169444
t = 8.9000, H(p,q)-H0 = -0.0000000484995802, L(p,q)-L0 = -0.0000000029169457
t = 9.0000, H(p,q)-H0 = -0.0000000484996628, L(p,q)-L0 = -0.0000000029169466
t = 9.1000, H(p,q)-H0 = -0.0000000484997233, L(p,q)-L0 = -0.0000000029169479
t = 9.2000, H(p,q)-H0 = -0.0000000484997655, L(p,q)-L0 = -0.0000000029169489
t = 9.3000, H(p,q)-H0 = -0.0000000484997914, L(p,q)-L0 = -0.0000000029169498
t = 9.4000, H(p,q)-H0 = -0.0000000484998032, L(p,q)-L0 = -0.0000000029169505
t = 9.5000, H(p,q)-H0 = -0.0000000484998012, L(p,q)-L0 = -0.0000000029169516
t = 9.6000, H(p,q)-H0 = -0.0000000484997852, L(p,q)-L0 = -0.0000000029169526
t = 9.7000, H(p,q)-H0 = -0.0000000484997542, L(p,q)-L0 = -0.0000000029169535
t = 9.8000, H(p,q)-H0 = -0.0000000484997066, L(p,q)-L0 = -0.0000000029169545
t = 9.9000, H(p,q)-H0 = -0.0000000484996391, L(p,q)-L0 = -0.0000000029169560
t = 10.0000, H(p,q)-H0 = -0.0000000484995469, L(p,q)-L0 = -0.0000000029169570
t = 10.1000, H(p,q)-H0 = -0.0000000484994243, L(p,q)-L0 = -0.0000000029169585
t = 10.2000, H(p,q)-H0 = -0.0000000484992622, L(p,q)-L0 = -0.0000000029169602
t = 10.3000, H(p,q)-H0 = -0.0000000484990481, L(p,q)-L0 = -0.0000000029169618
t = 10.4000, H(p,q)-H0 = -0.0000000484987651, L(p,q)-L0 = -0.0000000029169638
t = 10.5000, H(p,q)-H0 = -0.0000000484983886, L(p,q)-L0 = -0.0000000029169663
t = 10.6000, H(p,q)-H0 = -0.0000000484978840, L(p,q)-L0 = -0.0000000029169693
t = 10.7000, H(p,q)-H0 = -0.0000000484972005, L(p,q)-L0 = -0.0000000029169730
t = 10.8000, H(p,q)-H0 = -0.0000000484962628, L(p,q)-L0 = -0.0000000029169777
t = 10.9000, H(p,q)-H0 = -0.0000000484949603, L(p,q)-L0 = -0.0000000029169837
t = 11.0000, H(p,q)-H0 = -0.0000000484931224, L(p,q)-L0 = -0.0000000029169920
t = 11.1000, H(p,q)-H0 = -0.0000000484904837, L(p,q)-L0 = -0.0000000029170040
t = 11.2000, H(p,q)-H0 = -0.0000000484866225, L(p,q)-L0 = -0.0000000029170210
t = 11.3000, H(p,q)-H0 = -0.0000000484808514, L(p,q)-L0 = -0.0000000029170464
t = 11.4000, H(p,q)-H0 = -0.0000000484720216, L(p,q)-L0 = -0.0000000029170855
t = 11.5000, H(p,q)-H0 = -0.0000000484581644, L(p,q)-L0 = -0.0000000029171492
t = 11.6000, H(p,q)-H0 = -0.0000000484358113, L(p,q)-L0 = -0.0000000029172574
t = 11.7000, H(p,q)-H0 = -0.0000000483987055, L(p,q)-L0 = -0.0000000029174534
t = 11.8000, H(p,q)-H0 = -0.0000000483353410, L(p,q)-L0 = -0.0000000029178340
t = 11.9000, H(p,q)-H0 = -0.0000000482244114, L(p,q)-L0 = -0.0000000029186326
t = 12.0000, H(p,q)-H0 = -0.0000000480271497, L(p,q)-L0 = -0.0000000029204761
t = 12.1000, H(p,q)-H0 = -0.0000000476758215, L(p,q)-L0 = -0.0000000029252073
t = 12.2000, H(p,q)-H0 = -0.0000000470399959, L(p,q)-L0 = -0.0000000029387919
t = 12.3000, H(p,q)-H0 = -0.0000000455998068, L(p,q)-L0 = -0.0000000029816551
t = 12.4000, H(p,q)-H0 = -0.0000000403673206, L(p,q)-L0 = -0.0000000031186767
ROOT RETURN:	t = 12.4522 g[0] =   1, y[0] = 0.361063, y[1] = -0.221063
t = 12.4522, H(p,q)-H0 = -0.0000000615611286, L(p,q)-L0 = -0.0000000122994397
t = 12.5000, H(p,q)-H0 = -0.0000000264097049, L(p,q)-L0 = -0.0000000034814185
t = 12.6000, H(p,q)-H0 = -0.0000000248257395, L(p,q)-L0 = -0.0000000040677957
t = 12.7000, H(p,q)-H0 = -0.0000000441475145, L(p,q)-L0 = -0.0000000045400393
t = 12.8000, H(p,q)-H0 = -0.0000000544472503, L(p,q)-L0 = -0.0000000047481248
t = 12.9000, H(p,q)-H0 = -0.0000000572878029, L(p,q)-L0 = -0.0000000048157982
t = 13.0000, H(p,q)-H0 = -0.0000000582880573, L(p,q)-L0 = -0.0000000048367885
t = 13.1000, H(p,q)-H0 = -0.0000000587741035, L(p,q)-L0 = -0.0000000048438051
t = 13.2000, H(p,q)-H0 = -0.0000000590331863, L(p,q)-L0 = -0.0000000048464244
t = 13.3000, H(p,q)-H0 = -0.0000000591747902, L(p,q)-L0 = -0.0000000048475159
t = 13.4000, H(p,q)-H0 = -0.0000000592540124, L(p,q)-L0 = -0.0000000048480178
t = 13.5000, H(p,q)-H0 = -0.0000000592996148, L(p,q)-L0 = -0.0000000048482691
ROOT RETURN:	t = 13.5969 g[0] =  -1, y[0] = -0.658624, y[1] = 0.798624
t = 13.5969, H(p,q)-H0 = -0.0000000591936562, L(p,q)-L0 = -0.0000000046048778
t = 13.6000, H(p,q)-H0 = -0.0000000593266857, L(p,q)-L0 = -0.0000000048484048
t = 13.7000, H(p,q)-H0 = -0.0000000593432556, L(p,q)-L0 = -0.0000000048484827
t = 13.8000, H(p,q)-H0 = -0.0000000593536968, L(p,q)-L0 = -0.0000000048485300
t = 13.9000, H(p,q)-H0 = -0.0000000593604556, L(p,q)-L0 = -0.0000000048485598
t = 14.0000, H(p,q)-H0 = -0.0000000593649396, L(p,q)-L0 = -0.0000000048485798
t = 14.1000, H(p,q)-H0 = -0.0000000593679819, L(p,q)-L0 = -0.0000000048485937
t = 14.2000, H(p,q)-H0 = -0.0000000593700872, L(p,q)-L0 = -0.0000000048486032
t = 14.3000, H(p,q)-H0 = -0.0000000593715705, L(p,q)-L0 = -0.0000000048486097
t = 14.4000, H(p,q)-H0 = -0.0000000593726339, L(p,q)-L0 = -0.0000000048486152
t = 14.5000, H(p,q)-H0 = -0.0000000593734059, L(p,q)-L0 = -0.0000000048486188
t = 14.6000, H(p,q)-H0 = -0.0000000593739744, L(p,q)-L0 = -0.0000000048486219
t = 14.7000, H(p,q)-H0 = -0.0000000593743977, L(p,q)-L0 = -0.0000000048486245
t = 14.8000, H(p,q)-H0 = -0.0000000593747158, L(p,q)-L0 = -0.0000000048486268
t = 14.9000, H(p,q)-H0 = -0.0000000593749566, L(p,q)-L0 = -0.0000000048486291
t = 15.0000, H(p,q)-H0 = -0.0000000593751394, L(p,q)-L0 = -0.0000000048486303
t = 15.1000, H(p,q)-H0 = -0.0000000593752784, L(p,q)-L0 = -0.0000000048486318
t = 15.2000, H(p,q)-H0 = -0.0000000593753837, L(p,q)-L0 = -0.0000000048486331
t = 15.3000, H(p,q)-H0 = -0.0000000593754625, L(p,q)-L0 = -0.0000000048486346
t = 15.4000, H(p,q)-H0 = -0.0000000593755194, L(p,q)-L0 = -0.0000000048486355
t = 15.5000, H(p,q)-H0 = -0.0000000593755587, L(p,q)-L0 = -0.0000000048486369
t = 15.6000, H(p,q)-H0 = -0.0000000593755822, L(p,q)-L0 = -0.0000000048486377
t = 15.7000, H(p,q)-H0 = -0.0000000593755920, L(p,q)-L0 = -0.0000000048486393
t = 15.8000, H(p,q)-H0 = -0.0000000593755872, L(p,q)-L0 = -0.0000000048486396
t = 15.9000, H(p,q)-H0 = -0.0000000593755689, L(p,q)-L0 = -0.0000000048486408
t = 16.0000, H(p,q)-H0 = -0.0000000593755352, L(p,q)-L0 = -0.0000000048486415
t = 16.1000, H(p,q)-H0 = -0.0000000593754842, L(p,q)-L0 = -0.0000000048486424
t = 16.2000, H(p,q)-H0 = -0.0000000593754125, L(p,q)-L0 = -0.0000000048486432
t = 16.3000, H(p,q)-H0 = -0.0000000593753153, L(p,q)-L0 = -0.0000000048486436
t = 16.4000, H(p,q)-H0 = -0.0000000593751868, L(p,q)-L0 = -0.0000000048486454
t = 16.5000, H(p,q)-H0 = -0.0000000593750168, L(p,q)-L0 = -0.0000000048486469
t = 16.6000, H(p,q)-H0 = -0.0000000593747926, L(p,q)-L0 = -0.0000000048486486
t = 16.7000, H(p,q)-H0 = -0.0000000593744955, L(p,q)-L0 = -0.0000000048486504
t = 16.8000, H(p,q)-H0 = -0.0000000593741000, L(p,q)-L0 = -0.0000000048486527
t = 16.9000, H(p,q)-H0 = -0.0000000593735690, L(p,q)-L0 = -0.0000000048486554
t = 17.0000, H(p,q)-H0 = -0.0000000593728482, L(p,q)-L0 = -0.0000000048486588
t = 17.1000, H(p,q)-H0 = -0.0000000593718588, L(p,q)-L0 = -0.0000000048486637
t = 17.2000, H(p,q)-H0 = -0.0000000593704803, L(p,q)-L0 = -0.0000000048486704
t = 17.3000, H(p,q)-H0 = -0.0000000593685294, L(p,q)-L0 = -0.0000000048486791
t = 17.4000, H(p,q)-H0 = -0.0000000593657208, L(p,q)-L0 = -0.0000000048486918
t = 17.5000, H(p,q)-H0 = -0.0000000593615960, L(p,q)-L0 = -0.0000000048487099
t = 17.6000, H(p,q)-H0 = -0.0000000593554075, L(p,q)-L0 = -0.0000000048487371
t = 17.7000, H(p,q)-H0 = -0.0000000593459000, L(p,q)-L0 = -0.0000000048487790
t = 17.8000, H(p,q)-H0 = -0.0000000593309115, L(p,q)-L0 = -0.0000000048488482
t = 17.9000, H(p,q)-H0 = -0.0000000593066188, L(p,q)-L0 = -0.0000000048489672
t = 18.0000, H(p,q)-H0 = -0.0000000592660978, L(p,q)-L0 = -0.0000000048491851
t = 18.1000, H(p,q)-H0 = -0.0000000591965846, L(p,q)-L0 = -0.0000000048496129
t = 18.2000, H(p,q)-H0 = -0.0000000590744705, L(p,q)-L0 = -0.0000000048505251
t = 18.3000, H(p,q)-H0 = -0.0000000588570473, L(p,q)-L0 = -0.0000000048526683
t = 18.4000, H(p,q)-H0 = -0.0000000584699920, L(p,q)-L0 = -0.0000000048582733
t = 18.5000, H(p,q)-H0 = -0.0000000577596622, L(p,q)-L0 = -0.0000000048746636
t = 18.6000, H(p,q)-H0 = -0.0000000560199105, L(p,q)-L0 = -0.0000000049269229
t = 18.7000, H(p,q)-H0 = -0.0000000494869183, L(p,q)-L0 = -0.0000000050917097
ROOT RETURN:	t = 18.7354 g[0] =   1, y[0] = 0.361063, y[1] = -0.221063
t = 18.7354, H(p,q)-H0 = -0.0000000978326402, L(p,q)-L0 = -0.0000000230376245
t = 18.8000, H(p,q)-H0 = -0.0000000350383482, L(p,q)-L0 = -0.0000000055021806
t = 18.9000, H(p,q)-H0 = -0.0000000384657535, L(p,q)-L0 = -0.0000000060967349
t = 19.0000, H(p,q)-H0 = -0.0000000576671775, L(p,q)-L0 = -0.0000000065229255
t = 19.1000, H(p,q)-H0 = -0.0000000660850508, L(p,q)-L0 = -0.0000000066973844
t = 19.2000, H(p,q)-H0 = -0.0000000683962778, L(p,q)-L0 = -0.0000000067528785
t = 19.3000, H(p,q)-H0 = -0.0000000692693363, L(p,q)-L0 = -0.0000000067702148
t = 19.4000, H(p,q)-H0 = -0.0000000697053074, L(p,q)-L0 = -0.0000000067761124
t = 19.5000, H(p,q)-H0 = -0.0000000699390287, L(p,q)-L0 = -0.0000000067783563
t = 19.6000, H(p,q)-H0 = -0.0000000700672274, L(p,q)-L0 = -0.0000000067793084
t = 19.7000, H(p,q)-H0 = -0.0000000701392731, L(p,q)-L0 = -0.0000000067797532
t = 19.8000, H(p,q)-H0 = -0.0000000701809573, L(p,q)-L0 = -0.0000000067799798
ROOT RETURN:	t = 19.8800 g[0] =  -1, y[0] = -0.658624, y[1] = 0.798624
t = 19.8800, H(p,q)-H0 = -0.0000000702017527, L(p,q)-L0 = -0.0000000067800091
t = 19.9000, H(p,q)-H0 = -0.0000000702058314, L(p,q)-L0 = -0.0000000067801036
t = 20.0000, H(p,q)-H0 = -0.0000000702211327, L(p,q)-L0 = -0.0000000067801749
t = 20.1000, H(p,q)-H0 = -0.0000000702308205, L(p,q)-L0 = -0.0000000067802189
t = 20.2000, H(p,q)-H0 = -0.0000000702371183, L(p,q)-L0 = -0.0000000067802470
t = 20.3000, H(p,q)-H0 = -0.0000000702413129, L(p,q)-L0 = -0.0000000067802653
t = 20.4000, H(p,q)-H0 = -0.0000000702441684, L(p,q)-L0 = -0.0000000067802781
