
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 1
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000000000000000, L(p,q) = 0.8000000000000000
t = 0.1000, H(p,q)-H0 = -0.0000000018824737, L(p,q)-L0 = 0.0000000000000000
t = 0.2000, H(p,q)-H0 = -0.0000000017446897, L(p,q)-L0 = 0.0000000000000000
t = 0.3000, H(p,q)-H0 = 0.0000000001300120, L(p,q)-L0 = -0.0000000000000001
t = 0.4000, H(p,q)-H0 = 0.0000000012995796, L(p,q)-L0 = 0.0000000000000000
t = 0.5000, H(p,q)-H0 = 0.0000000018082987, L(p,q)-L0 = -0.0000000000000001
t = 0.6000, H(p,q)-H0 = 0.0000000020168753, L(p,q)-L0 = 0.0000000000000001
t = 0.7000, H(p,q)-H0 = 0.0000000021055039, L(p,q)-L0 = 0.0000000000000000
t = 0.8000, H(p,q)-H0 = 0.0000000021456816, L(p,q)-L0 = 0.0000000000000000
t = 0.9000, H(p,q)-H0 = 0.0000000021652163, L(p,q)-L0 = 0.0000000000000001
t = 1.0000, H(p,q)-H0 = 0.0000000021753693, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 1.0305 g[0] =  -1, y[0] = -0.658624, y[1] = 0.798624
t = 1.0305, H(p,q)-H0 = 0.0000000021770669, L(p,q)-L0 = -0.0000000000004670
t = 1.1000, H(p,q)-H0 = 0.0000000021809765, L(p,q)-L0 = -0.0000000000000001
t = 1.2000, H(p,q)-H0 = 0.0000000021842454, L(p,q)-L0 = 0.0000000000000000
t = 1.3000, H(p,q)-H0 = 0.0000000021862439, L(p,q)-L0 = 0.0000000000000001
t = 1.4000, H(p,q)-H0 = 0.0000000021875181, L(p,q)-L0 = 0.0000000000000000
t = 1.5000, H(p,q)-H0 = 0.0000000021883610, L(p,q)-L0 = 0.0000000000000000
t = 1.6000, H(p,q)-H0 = 0.0000000021889367, L(p,q)-L0 = 0.0000000000000000
t = 1.7000, H(p,q)-H0 = 0.0000000021893412, L(p,q)-L0 = 0.0000000000000000
t = 1.8000, H(p,q)-H0 = 0.0000000021896323, L(p,q)-L0 = 0.0000000000000000
t = 1.9000, H(p,q)-H0 = 0.0000000021898465, L(p,q)-L0 = 0.0000000000000000
t = 2.0000, H(p,q)-H0 = 0.0000000021900070, L(p,q)-L0 = 0.0000000000000000
t = 2.1000, H(p,q)-H0 = 0.0000000021901287, L(p,q)-L0 = 0.0000000000000000
t = 2.2000, H(p,q)-H0 = 0.0000000021902227, L(p,q)-L0 = 0.0000000000000000
t = 2.3000, H(p,q)-H0 = 0.0000000021902956, L(p,q)-L0 = 0.0000000000000000
t = 2.4000, H(p,q)-H0 = 0.0000000021903526, L(p,q)-L0 = 0.0000000000000000
t = 2.5000, H(p,q)-H0 = 0.0000000021903970, L(p,q)-L0 = 0.0000000000000000
t = 2.6000, H(p,q)-H0 = 0.0000000021904316, L(p,q)-L0 = 0.0000000000000000
t = 2.7000, H(p,q)-H0 = 0.0000000021904581, L(p,q)-L0 = 0.0000000000000000
t = 2.8000, H(p,q)-H0 = 0.0000000021904781, L(p,q)-L0 = 0.0000000000000000
t = 2.9000, H(p,q)-H0 = 0.0000000021904921, L(p,q)-L0 = 0.0000000000000000
t = 3.0000, H(p,q)-H0 = 0.0000000021905011, L(p,q)-L0 = 0.0000000000000000
t = 3.1000, H(p,q)-H0 = 0.0000000021905053, L(p,q)-L0 = 0.0000000000000001
t = 3.2000, H(p,q)-H0 = 0.0000000021905047, L(p,q)-L0 = 0.0000000000000000
t = 3.3000, H(p,q)-H0 = 0.0000000021904998, L(p,q)-L0 = 0.0000000000000001
t = 3.4000, H(p,q)-H0 = 0.0000000021904899, L(p,q)-L0 = 0.0000000000000000
t = 3.5000, H(p,q)-H0 = 0.0000000021904749, L(p,q)-L0 = 0.0000000000000000
t = 3.6000, H(p,q)-H0 = 0.0000000021904538, L(p,q)-L0 = 0.0000000000000000
t = 3.7000, H(p,q)-H0 = 0.0000000021904260, L(p,q)-L0 = 0.0000000000000000
t = 3.8000, H(p,q)-H0 = 0.0000000021903896, L(p,q)-L0 = 0.0000000000000000
t = 3.9000, H(p,q)-H0 = 0.0000000021903431, L(p,q)-L0 = 0.0000000000000001
