
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            1
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000000000000000, L(p,q) = 0.8000000000000000
t = 0.1000, H(p,q)-H0 = -0.0000062696796468, L(p,q)-L0 = -0.0000005429998904
t = 0.2000, H(p,q)-H0 = -0.0001135927952709, L(p,q)-L0 = -0.0000114072371575
t = 0.3000, H(p,q)-H0 = -0.0001759285155116, L(p,q)-L0 = -0.0000192792884657
t = 0.4000, H(p,q)-H0 = -0.0002002869125659, L(p,q)-L0 = -0.0000226250387698
t = 0.5000, H(p,q)-H0 = -0.0002010782201837, L(p,q)-L0 = -0.0000226897917929
t = 0.6000, H(p,q)-H0 = -0.0002056527160148, L(p,q)-L0 = -0.0000231381327631
t = 0.7000, H(p,q)-H0 = -0.0002078783396466, L(p,q)-L0 = -0.0000233154338760
t = 0.8000, H(p,q)-H0 = -0.0002090364664149, L(p,q)-L0 = -0.0000233933147147
t = 0.9000, H(p,q)-H0 = -0.0002096714693198, L(p,q)-L0 = -0.0000234308138786
t = 1.0000, H(p,q)-H0 = -0.0002100355398247, L(p,q)-L0 = -0.0000234503491130
t = 1.1000, H(p,q)-H0 = -0.0002102526487975, L(p,q)-L0 = -0.0000234612354948
t = 1.2000, H(p,q)-H0 = -0.0002103867255953, L(p,q)-L0 = -0.0000234676638518
t = 1.3000, H(p,q)-H0 = -0.0002104721456131, L(p,q)-L0 = -0.0000234716549572
t = 1.4000, H(p,q)-H0 = -0.0002105281006790, L(p,q)-L0 = -0.0000234742438319
t = 1.5000, H(p,q)-H0 = -0.0002105656766314, L(p,q)-L0 = -0.0000234759892890
t = 1.6000, H(p,q)-H0 = -0.0002105914779699, L(p,q)-L0 = -0.0000234772073124
t = 1.7000, H(p,q)-H0 = -0.0002106095513844, L(p,q)-L0 = -0.0000234780840148
t = 1.8000, H(p,q)-H0 = -0.0002106224404057, L(p,q)-L0 = -0.0000234787330590
t = 1.9000, H(p,q)-H0 = -0.0002106317812685, L(p,q)-L0 = -0.0000234792261447
t = 2.0000, H(p,q)-H0 = -0.0002106386489813, L(p,q)-L0 = -0.0000234796098375
t = 2.1000, H(p,q)-H0 = -0.0002106437634820, L(p,q)-L0 = -0.0000234799151920
t = 2.2000, H(p,q)-H0 = -0.0002106476153432, L(p,q)-L0 = -0.0000234801634272
t = 2.3000, H(p,q)-H0 = -0.0002106505440783, L(p,q)-L0 = -0.0000234803693731
t = 2.4000, H(p,q)-H0 = -0.0002106527878885, L(p,q)-L0 = -0.0000234805436206
t = 2.5000, H(p,q)-H0 = -0.0002106545158288, L(p,q)-L0 = -0.0000234806938915
t = 2.6000, H(p,q)-H0 = -0.0002106558489441, L(p,q)-L0 = -0.0000234808259383
t = 2.7000, H(p,q)-H0 = -0.0002106568743364, L(p,q)-L0 = -0.0000234809441408
t = 2.8000, H(p,q)-H0 = -0.0002106576546294, L(p,q)-L0 = -0.0000234810519173
t = 2.9000, H(p,q)-H0 = -0.0002106582343624, L(p,q)-L0 = -0.0000234811520122
t = 3.0000, H(p,q)-H0 = -0.0002106586442909, L(p,q)-L0 = -0.0000234812467022
t = 3.1000, H(p,q)-H0 = -0.0002106589042116, L(p,q)-L0 = -0.0000234813379530
t = 3.2000, H(p,q)-H0 = -0.0002106590246974, L(p,q)-L0 = -0.0000234814275419
t = 3.3000, H(p,q)-H0 = -0.0002106590079697, L(p,q)-L0 = -0.0000234815171618
t = 3.4000, H(p,q)-H0 = -0.0002106588480201, L(p,q)-L0 = -0.0000234816085181
t = 3.5000, H(p,q)-H0 = -0.0002106585299889, L(p,q)-L0 = -0.0000234817034248
t = 3.6000, H(p,q)-H0 = -0.0002106580287222, L(p,q)-L0 = -0.0000234818039164
t = 3.7000, H(p,q)-H0 = -0.0002106573063074, L(p,q)-L0 = -0.0000234819123797
t = 3.8000, H(p,q)-H0 = -0.0002106563082501, L(p,q)-L0 = -0.0000234820317282
t = 3.9000, H(p,q)-H0 = -0.0002106549577361, L(p,q)-L0 = -0.0000234821656365
t = 4.0000, H(p,q)-H0 = -0.0002106531471080, L(p,q)-L0 = -0.0000234823188732
t = 4.1000, H(p,q)-H0 = -0.0002106507251770, L(p,q)-L0 = -0.0000234824977813
t = 4.2000, H(p,q)-H0 = -0.0002106474781862, L(p,q)-L0 = -0.0000234827109934
t = 4.3000, H(p,q)-H0 = -0.0002106431009092, L(p,q)-L0 = -0.0000234829705201
t = 4.4000, H(p,q)-H0 = -0.0002106371521462, L(p,q)-L0 = -0.0000234832934438
t = 4.5000, H(p,q)-H0 = -0.0002106289850994, L(p,q)-L0 = -0.0000234837046210
t = 4.6000, H(p,q)-H0 = -0.0002106176365483, L(p,q)-L0 = -0.0000234842411053
t = 4.7000, H(p,q)-H0 = -0.0002106016471730, L(p,q)-L0 = -0.0000234849595961
t = 4.8000, H(p,q)-H0 = -0.0002105787645791, L(p,q)-L0 = -0.0000234859493718
t = 4.9000, H(p,q)-H0 = -0.0002105454426794, L(p,q)-L0 = -0.0000234873555242
t = 5.0000, H(p,q)-H0 = -0.0002104959812197, L(p,q)-L0 = -0.0000234894223092
t = 5.1000, H(p,q)-H0 = -0.0002104210202308, L(p,q)-L0 = -0.0000234925775160
t = 5.2000, H(p,q)-H0 = -0.0002103048702212, L(p,q)-L0 = -0.0000234976045969
t = 5.3000, H(p,q)-H0 = -0.0002101207619831, L(p,q)-L0 = -0.0000235060130325
t = 5.4000, H(p,q)-H0 = -0.0002098225630768, L(p,q)-L0 = -0.0000235208843751
t = 5.5000, H(p,q)-H0 = -0.0002093314638612, L(p,q)-L0 = -0.0000235489396382
t = 5.6000, H(p,q)-H0 = -0.0002085202913832, L(p,q)-L0 = -0.0000236059866302
t = 5.7000, H(p,q)-H0 = -0.0002072234833019, L(p,q)-L0 = -0.0000237325104756
t = 5.8000, H(p,q)-H0 = -0.0002054116656489, L(p,q)-L0 = -0.0000240423246145
t = 5.9000, H(p,q)-H0 = -0.0002040036888862, L(p,q)-L0 = -0.0000248869028331
t = 6.0000, H(p,q)-H0 = -0.0002066492483566, L(p,q)-L0 = -0.0000274341568969
t = 6.1000, H(p,q)-H0 = -0.0002146405945813, L(p,q)-L0 = -0.0000355555994543
t = 6.2000, H(p,q)-H0 = -0.0002169176332283, L(p,q)-L0 = -0.0000596238468652
t = 6.3000, H(p,q)-H0 = -0.0004117452639090, L(p,q)-L0 = -0.0001107536901481
t = 6.4000, H(p,q)-H0 = -0.0008766427360893, L(p,q)-L0 = -0.0001668008722370
t = 6.5000, H(p,q)-H0 = -0.0010430569247366, L(p,q)-L0 = -0.0001854585430967
t = 6.6000, H(p,q)-H0 = -0.0010546535311935, L(p,q)-L0 = -0.0001867028107823
t = 6.7000, H(p,q)-H0 = -0.0010774137233291, L(p,q)-L0 = -0.0001898389637827
