
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
    7.000000    1.172945    1.630705  4.91e-04  6.79e-04
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 160 (attempted = 161)
   Total number of error test failures = 1
   Total RHS evals:  Fe = 808,  Fi = 0
   Total mass matrix setups = 488
   Total mass matrix solves = 968
   Total mass times evals = 160
   Errors: u = 0.0009669, v = 0.00120007, total = 0.00108974
